Departement,Commune,Nom_AEV,No_AEV,Type_AEV_,Arrondissement,Village,Localite,Nom_Local,Indice_IRH,Hors_Parc,Ouvrage_Positif,Usage_Ouvrage,Type_Ouvrage,Type_SE,etat_ouvrage,Perennite,Propriete_Ouvrage,DateCreat,DateModif,Categorie,No_Localite,Pop_Ajustee,Annee_Actuelle,Autre_Nom,Id_Financement,Id_Programme,A_Ouvrage_Id.Entreprise,Annee_Fin,Type_Exhaure,Id_Unite_Hydro,Nom Unité hydro,Longitude,Latitude,xCoord,yCoord,Prof_Totale,Prof_Toit,Prof_Mur,Lithologie,Date_Foration,Prof_Equipee,Prof_Sup_Crep,Longueur_Crep,Prof_Inf_Crep,Geomorphologie,Date_Dvpt,Debit_Dvpt,Niv_Statique,Date_Niveau,Debit_Exploitable,Debit_Equipe,rqtListe_Pompe.Modele_Pompe,rqtListe_Pompe.Cote_Install,Date_Essai,Conductivite,Potabilite,A_Pmotor.Info_Programme,A_Pmotor.Modele_Pompe,Puissance_Pompe,Energie,A_Pmotor.Entreprise,Info_Entreprise,A_Pmotor.Cote_Install,AM_Install,Modele_Groupe,Puissance_Groupe,Puissance_Crete,Puissance_Eolienne,Vanne,Ventouse,Clapet,Anti_Belier,Compteur,Manometre,Tamis,SONEB,Etat_AEV,Expr1004,Expr1005,A_Ouvrage_Id.Info_Programme,Hauteur_Margelle,Debit_Fin_Foration
BORGOU,TCHAOUROU,,,,ALAFIAROU,KODA ,Koda,Patanti,SAV-A-0016-04,FAUX,VRAI,Consommation courante,F,PMH,B,Pérenne,Communautaire,22-Apr-17,22-Apr-17,V,04-8-01-03-01,3489,2020,,PNUD,PNUD,ESPERANCE 2001,2016,PMH,,,"02°21'08.4""E","08°49'37.6""N",2.352333,8.827111,45.66,,,,01-Dec-16,45.66,,,,,,2.28,,,,,VERGNET 4C,36,,,Bonne,,,,,,,,,,,,,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,,PNUD,PNUD,,0,1.33
BORGOU,TCHAOUROU,,,,BETEROU,BANIGRI ,Banigri,BANIGRI,INC-C-0130-04,FAUX,VRAI,Consommation courante,F,,B,Pérenne,Communautaire,,,V,04-8-02-01-01,4242,2020,,PNUD,UNICEF,REGI/DGH,,PMH,Soc pan,Socle panafricain ,"02°18'55.7""E","09°09'22.4""N",2.315472,9.156222,60,22,60,Granite fracturé,14-Dec-83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,,PNUD,UNICEF,,0,0
BORGOU,TCHAOUROU,,,,ALAFIAROU,KOKO ,Koko,KOKO GBEROUKPANIN,PAR-C-0254-04,FAUX,VRAI,Consommation courante,F,PMH,B,Pérenne,Communautaire,03-May-13,,V,04-8-01-04-01,2354,2020,,SUISSE,BEST SD ASEHA,FORAG SA,2013,PMH,,,"02°19'46.4""E","09°06'11.0""N",2.329556,9.103056,48.73,,,,,48.73,,,,,,2.2,7.1,,,1,VERGNET 4C,25,,,Bonne,,,,,,,,,,,,,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,,SUISSE,BEST SD ASEHA,,0,0
BORGOU,TCHAOUROU,,,,ALAFIAROU,KOKO ,Ayégourou,Ayégourou,PAR-C-0189-04,FAUX,VRAI,Consommation courante,F,,B,Pérenne,Communautaire,,05-Jun-10,V,04-8-01-04-02,1084,2020,,CEAO,CEAO II,SOCAFOR.SA,,PMH,,,"02°24'04.8""E","09°01'21.1""N",2.401333,9.022528,43.15,,,,,43.15,,,,,,6,,,,,,,,,,,,,,,,,,,,,,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,,CEAO,CEAO II,,0,0
BORGOU,TCHAOUROU,,,,ALAFIAROU,KOKO ,Koko,Koko,PAR-C-0177-04,FAUX,VRAI,Consommation courante,F,PMH,B,Pérenne,Communautaire,,14-Jan-10,V,04-8-01-04-01,2354,2020,,DANEMARK,DANIDA,FORAG SA,,PMH,,,"02°21'45.3""E","09°04'03.4""N",2.362583,9.067611,55.11,27.95,27.16,,,55.11,34.47,,40.41,,3/27/2004,0.7,37.5,3/27/2004,0.7,0.7,VERGNET,43,,1: < 400 µSxcm,Bonne,,,,,,,,,,,,,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,,DANEMARK,DANIDA,,0,0
BORGOU,TCHAOUROU,,,,ALAFIAROU,KOKO ,Ayégourou,AYEGOUROU,PAR-C-0091-04,FAUX,VRAI,Consommation courante,F,,NE,Pérenne,Communautaire,,,V,04-8-01-04-02,1084,2020,,BUDGET NATIONAL DU BENIN,PIP,,,PMH,,,"02°21'58.6""E","09°03'50.6""N",2.366278,9.064055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,,BUDGET NATIONAL DU BENIN,PIP,,0,0
BORGOU,TCHAOUROU,,,,ALAFIAROU,KOKO ,Koko,AYEGOUROU,PAR-C-0090-04,FAUX,VRAI,Consommation courante,PM,,A,Non pérenne,Communautaire,,05-Jun-10,V,04-8-01-04-01,2354,2020,,,,,,Treuil,,,"02°21'56.0""E","09°03'55.3""N",2.365556,9.065361,,0,,,,22,,,,,,,15.3,,0,,,,,,,,,,,,,,,,,,,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,,,,,0,0
BORGOU,TCHAOUROU,,,,ALAFIAROU,KOKO ,Koko,KOKO,PAR-C-0089-04,FAUX,VRAI,Autre,PM,,B,Intermittent,Communautaire,,05-Jun-10,V,04-8-01-04-01,2354,2020,,UNION EUROPEENNE,FED,,,Treuil,,,"02°21'47.3""E","09°03'59.9""N",2.363139,9.066639,,9,,Gneiss,,15,,,,,,,6,,18,,,,,3: Entre 400 et 1500 µSxcm,Bonne,,,,,,,,,,,,,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,,UNION EUROPEENNE,FED,,0,0
BORGOU,TCHAOUROU,,,,ALAFIAROU,KOKO ,Koko,KOKO,PAR-C-0080-04,FAUX,VRAI,Consommation courante,F,PMH,B,Pérenne,Communautaire,,04-Jul-14,V,04-8-01-04-01,2354,2020,,,,,2004,PMH,,,"02°21'37.8""E","09°05'05.4""N",2.3605,9.084833,,,,,,,,,,,,,,,,,INDIA,,,,,,,,,,,,,,,,,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,,,,,0,0
BORGOU,TCHAOUROU,,,,ALAFIAROU,KOKO ,Koko,KOKO,PAR-C-0079-04,FAUX,VRAI,Consommation courante,F,PMH,B,Pérenne,Communautaire,,04-Jul-14,V,04-8-01-04-01,2354,2020,,PNUD,UNICEF,REGI/DGH,,PMH,Soc pan,Socle panafricain ,"02°21'35.0""E","09°04'02.3""N",2.359722,9.067306,47,21,47,Granite fracturé,10-Oct-83,43,,,,,,,10,,,,INDIA,,,,Mauvaise,,,,,,,,,,,,,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,,PNUD,UNICEF,,0,0
BORGOU,TCHAOUROU,,,,ALAFIAROU,KODA ,Koda,,SAV-A-0046-04,FAUX,VRAI,,F,PMH,,,,08-Apr-18,,V,04-8-01-03-01,3489,2020,,,,,,,,,"02°19'02.3""E","08°53'12.4""N",2.317306,8.886778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,,,,,0,0
BORGOU,TCHAOUROU,,,,ALAFIAROU,KODA ,Koda,KODA CENTRE 2,SAV-A-0043-04,FAUX,VRAI,Consommation courante,F,PMH,B,Pérenne,Communautaire,04-Jan-18,20-Feb-18,V,04-8-01-03-01,3489,2020,,,,,2017,PMH,,,"02°17'12.7""E","08°51'07.6""N",2.286861,8.852111,68.67,,,Migmatite+Gneiss+granitoide,,,,,,,,0.7,9.19,,,,VERGNET 4D,58,12/6/2017,,Bonne,,,,,,,,,,,,,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,,,,PSDDC,0,
